Date,Time,Life_stage,FishID,Habitat_released_onto,Release_location,StationID,Station_Region,Station_Name,Latitude,Longitude
19/11/2011,11:06:57 PM,adult,6,other,other,12,east,Rec_artificial_reef,-38.03608,145.07697
20/11/2011,1:11:57 AM,adult,6,other,other,12,east,Rec_artificial_reef,-38.03608,145.07697
20/11/2011,1:35:46 AM,adult,9,other,other,15,east,Gaso_deep,-38.04128,144.98372
20/11/2011,3:18:27 AM,adult,6,other,other,12,east,Rec_artificial_reef,-38.03608,145.07697
20/11/2011,3:36:42 AM,adult,9,other,other,15,east,Gaso_deep,-38.04128,144.98372
20/11/2011,5:40:19 AM,adult,9,other,other,15,east,Gaso_deep,-38.04128,144.98372
20/11/2011,8:46:13 AM,adult,10,other,other,18,east,Aircraft/Aeroplane,-38.10002,145.01185
20/11/2011,1:44:05 PM,adult,6,other,other,12,east,Rec_artificial_reef,-38.03608,145.07697
20/11/2011,9:07:43 PM,adult,6,other,other,12,east,Rec_artificial_reef,-38.03608,145.07697
20/11/2011,11:41:39 PM,adult,6,other,other,12,east,Rec_artificial_reef,-38.03608,145.07697
21/11/2011,1:59:05 AM,adult,6,other,other,12,east,Rec_artificial_reef,-38.03608,145.07697
21/11/2011,8:20:50 AM,adult,10,other,other,27,east,Mornington_hospital,-38.16823,144.9593
21/11/2011,12:34:31 PM,adult,11,other,other,11,east,Mordialloc_natural_reef,-38.00213,145.0611
21/11/2011,2:26:18 PM,adult,7,other,other,10,east,Ricketts_natural_reef,-38.00345,145.0335
21/11/2011,2:41:18 PM,adult,11,other,other,11,east,Mordialloc_natural_reef,-38.00213,145.0611
21/11/2011,5:04:57 PM,adult,7,other,other,11,east,Mordialloc_natural_reef,-38.00213,145.0611
21/11/2011,5:24:27 PM,adult,11,other,other,11,east,Mordialloc_natural_reef,-38.00213,145.0611
21/11/2011,5:41:37 PM,adult,6,other,other,12,east,Rec_artificial_reef,-38.03608,145.07697
21/11/2011,6:55:23 PM,adult,14,other,other,21,east,Tedesco_artificial_reef,-38.08735,145.09918
21/11/2011,8:10:04 PM,adult,7,other,other,10,east,Ricketts_natural_reef,-38.00345,145.0335
21/11/2011,8:15:45 PM,adult,11,other,other,11,east,Mordialloc_natural_reef,-38.00213,145.0611
21/11/2011,10:17:27 PM,adult,6,other,other,14,east,Gaso_4_shallow,-38.04698,145.05367
22/11/2011,1:43:28 AM,adult,14,other,other,20,east,Seaford_16m,-38.09975,145.0564
22/11/2011,4:25:36 AM,adult,11,other,other,10,east,Ricketts_natural_reef,-38.00345,145.0335
22/11/2011,12:35:59 PM,adult,15,other,other,13,east,Tyre_reef,-38.05117,145.0788
22/11/2011,2:04:08 PM,adult,7,other,other,11,east,Mordialloc_natural_reef,-38.00213,145.0611
22/11/2011,2:04:36 PM,adult,11,other,other,11,east,Mordialloc_natural_reef,-38.00213,145.0611
22/11/2011,2:38:13 PM,adult,15,other,other,13,east,Tyre_reef,-38.05117,145.0788
22/11/2011,4:11:28 PM,adult,7,other,other,11,east,Mordialloc_natural_reef,-38.00213,145.0611
22/11/2011,4:18:04 PM,adult,11,other,other,11,east,Mordialloc_natural_reef,-38.00213,145.0611
22/11/2011,4:52:05 PM,adult,17,other,other,23,east,Yakka_artificial_reef,-38.14135,145.09135
22/11/2011,4:52:26 PM,adult,18,other,other,23,east,Yakka_artificial_reef,-38.14135,145.09135
22/11/2011,6:02:56 PM,adult,25,other,other,23,east,Yakka_artificial_reef,-38.14135,145.09135
22/11/2011,6:19:54 PM,adult,24,other,other,23,east,Yakka_artificial_reef,-38.14135,145.09135
22/11/2011,6:23:45 PM,adult,18,other,other,22,east,Frankston_inner_reef_(knob),-38.14407,145.10023
22/11/2011,8:26:46 PM,adult,6,other,other,12,east,Rec_artificial_reef,-38.03608,145.07697
22/11/2011,10:29:18 PM,adult,6,other,other,12,east,Rec_artificial_reef,-38.03608,145.07697
22/11/2011,10:56:48 PM,adult,16,other,other,18,east,Aircraft/Aeroplane,-38.10002,145.01185
23/11/2011,12:09:02 AM,adult,27,other,other,25,east,Mornington_paddock,-38.14808,145.03395
23/11/2011,3:13:04 AM,adult,29,other,other,25,east,Mornington_paddock,-38.14808,145.03395
23/11/2011,4:03:38 AM,adult,15,other,other,11,east,Mordialloc_natural_reef,-38.00213,145.0611
23/11/2011,5:14:54 AM,adult,22,other,other,19,east,Barge_Carrum,-38.07715,145.03903
23/11/2011,6:52:49 AM,adult,24,other,other,26,east,Ansetts,-38.17358,145.03483
23/11/2011,7:47:12 AM,adult,17,other,other,11,east,Mordialloc_natural_reef,-38.00213,145.0611
23/11/2011,7:54:17 AM,adult,16,other,other,12,east,Rec_artificial_reef,-38.03608,145.07697
23/11/2011,10:57:42 AM,adult,15,other,other,11,east,Mordialloc_natural_reef,-38.00213,145.0611
23/11/2011,2:39:44 PM,adult,22,other,other,11,east,Mordialloc_natural_reef,-38.00213,145.0611
23/11/2011,2:43:24 PM,adult,11,other,other,11,east,Mordialloc_natural_reef,-38.00213,145.0611
23/11/2011,5:11:07 PM,adult,11,other,other,11,east,Mordialloc_natural_reef,-38.00213,145.0611
23/11/2011,6:18:55 PM,adult,33,other,other,17,east,Mornington_wide,-38.12388,144.94052
23/11/2011,6:34:03 PM,adult,31,other,other,27,east,Mornington_hospital,-38.16823,144.9593
23/11/2011,7:02:45 PM,adult,20,other,other,22,east,Frankston_inner_reef_(knob),-38.14407,145.10023
23/11/2011,7:13:41 PM,adult,11,other,other,11,east,Mordialloc_natural_reef,-38.00213,145.0611
24/11/2011,1:10:57 AM,adult,21,other,other,10,east,Ricketts_natural_reef,-38.00345,145.0335
24/11/2011,3:16:50 AM,adult,22,other,other,10,east,Ricketts_natural_reef,-38.00345,145.0335
24/11/2011,3:45:24 AM,adult,21,other,other,10,east,Ricketts_natural_reef,-38.00345,145.0335
24/11/2011,4:45:00 AM,adult,28,other,other,17,east,Mornington_wide,-38.12388,144.94052
24/11/2011,5:09:57 AM,adult,33,other,other,27,east,Mornington_hospital,-38.16823,144.9593
24/11/2011,6:32:35 AM,adult,21,other,other,10,east,Ricketts_natural_reef,-38.00345,145.0335
24/11/2011,6:53:53 AM,adult,16,other,other,10,east,Ricketts_natural_reef,-38.00345,145.0335
24/11/2011,8:13:40 AM,adult,15,other,other,11,east,Mordialloc_natural_reef,-38.00213,145.0611
24/11/2011,9:42:01 AM,adult,16,other,other,11,east,Mordialloc_natural_reef,-38.00213,145.0611
24/11/2011,10:14:54 AM,adult,15,other,other,11,east,Mordialloc_natural_reef,-38.00213,145.0611
24/11/2011,12:03:53 PM,adult,16,other,other,11,east,Mordialloc_natural_reef,-38.00213,145.0611
24/11/2011,12:15:21 PM,adult,15,other,other,11,east,Mordialloc_natural_reef,-38.00213,145.0611
24/11/2011,12:20:49 PM,adult,21,other,other,10,east,Ricketts_natural_reef,-38.00345,145.0335
24/11/2011,2:15:05 PM,adult,16,other,other,11,east,Mordialloc_natural_reef,-38.00213,145.0611
24/11/2011,2:17:19 PM,adult,15,other,other,11,east,Mordialloc_natural_reef,-38.00213,145.0611
24/11/2011,3:46:46 PM,adult,13,other,other,22,east,Frankston_inner_reef_(knob),-38.14407,145.10023
24/11/2011,4:27:54 PM,adult,15,other,other,11,east,Mordialloc_natural_reef,-38.00213,145.0611
24/11/2011,4:29:34 PM,adult,32,other,other,8,north,Anonyma_shoal_(Sandringham),-37.95742,144.98865
24/11/2011,5:32:22 PM,adult,9,other,other,9,north,Finger,-38.04418,144.79383
24/11/2011,5:52:07 PM,adult,13,other,other,22,east,Frankston_inner_reef_(knob),-38.14407,145.10023
24/11/2011,6:31:12 PM,adult,15,other,other,11,east,Mordialloc_natural_reef,-38.00213,145.0611
25/11/2011,2:07:44 AM,adult,20,other,other,26,east,Ansetts,-38.17358,145.03483
25/11/2011,2:49:01 AM,adult,15,other,other,11,east,Mordialloc_natural_reef,-38.00213,145.0611
25/11/2011,4:12:01 AM,adult,20,other,other,26,east,Ansetts,-38.17358,145.03483
25/11/2011,5:16:56 AM,adult,15,other,other,11,east,Mordialloc_natural_reef,-38.00213,145.0611
25/11/2011,7:17:36 AM,adult,15,other,other,11,east,Mordialloc_natural_reef,-38.00213,145.0611
25/11/2011,8:28:57 AM,adult,32,other,other,8,north,Anonyma_shoal_(Sandringham),-37.95742,144.98865
25/11/2011,8:31:40 AM,adult,29,other,other,9,north,Finger,-38.04418,144.79383
25/11/2011,9:23:03 AM,adult,15,other,other,11,east,Mordialloc_natural_reef,-38.00213,145.0611
25/11/2011,9:32:31 AM,adult,16,other,other,18,east,Aircraft/Aeroplane,-38.10002,145.01185
25/11/2011,11:23:37 AM,adult,15,other,other,11,east,Mordialloc_natural_reef,-38.00213,145.0611
25/11/2011,2:25:38 PM,adult,5,other,other,15,east,Gaso_deep,-38.04128,144.98372
25/11/2011,2:27:09 PM,adult,21,other,other,10,east,Ricketts_natural_reef,-38.00345,145.0335
25/11/2011,3:35:58 PM,adult,32,other,other,8,north,Anonyma_shoal_(Sandringham),-37.95742,144.98865
25/11/2011,4:26:45 PM,adult,5,other,other,15,east,Gaso_deep,-38.04128,144.98372
25/11/2011,5:55:38 PM,adult,29,other,other,9,north,Finger,-38.04418,144.79383
25/11/2011,6:35:04 PM,adult,15,other,other,11,east,Mordialloc_natural_reef,-38.00213,145.0611
25/11/2011,6:47:53 PM,adult,7,other,other,15,east,Gaso_deep,-38.04128,144.98372
25/11/2011,9:21:40 PM,adult,16,other,other,18,east,Aircraft/Aeroplane,-38.10002,145.01185
26/11/2011,12:18:58 AM,adult,15,other,other,11,east,Mordialloc_natural_reef,-38.00213,145.0611
26/11/2011,1:24:37 AM,adult,30,other,other,27,east,Mornington_hospital,-38.16823,144.9593
26/11/2011,1:53:44 AM,adult,24,other,other,27,east,Mornington_hospital,-38.16823,144.9593
26/11/2011,3:30:31 AM,adult,30,other,other,27,east,Mornington_hospital,-38.16823,144.9593
26/11/2011,3:39:50 AM,adult,15,other,other,11,east,Mordialloc_natural_reef,-38.00213,145.0611
26/11/2011,4:36:33 AM,adult,21,other,other,10,east,Ricketts_natural_reef,-38.00345,145.0335
26/11/2011,4:49:20 AM,adult,7,other,other,16,east,Carrum_wide,-38.05342,144.94145
26/11/2011,5:43:03 AM,adult,15,other,other,11,east,Mordialloc_natural_reef,-38.00213,145.0611
26/11/2011,5:59:10 AM,adult,30,other,other,27,east,Mornington_hospital,-38.16823,144.9593
26/11/2011,8:04:19 AM,adult,15,other,other,11,east,Mordialloc_natural_reef,-38.00213,145.0611
26/11/2011,10:05:03 AM,adult,15,other,other,11,east,Mordialloc_natural_reef,-38.00213,145.0611
26/11/2011,2:44:18 PM,adult,29,other,other,9,north,Finger,-38.04418,144.79383
26/11/2011,5:04:52 PM,adult,22,other,other,16,east,Carrum_wide,-38.05342,144.94145
26/11/2011,6:10:19 PM,adult,24,other,other,27,east,Mornington_hospital,-38.16823,144.9593
26/11/2011,6:11:55 PM,adult,15,other,other,11,east,Mordialloc_natural_reef,-38.00213,145.0611
26/11/2011,7:03:38 PM,adult,29,other,other,9,north,Finger,-38.04418,144.79383
26/11/2011,8:27:05 PM,adult,24,other,other,27,east,Mornington_hospital,-38.16823,144.9593
26/11/2011,10:39:06 PM,adult,24,other,other,27,east,Mornington_hospital,-38.16823,144.9593
27/11/2011,12:39:26 AM,adult,24,other,other,27,east,Mornington_hospital,-38.16823,144.9593
27/11/2011,2:42:40 AM,adult,24,other,other,27,east,Mornington_hospital,-38.16823,144.9593
27/11/2011,4:13:12 AM,adult,22,other,other,16,east,Carrum_wide,-38.05342,144.94145
27/11/2011,4:26:17 AM,adult,32,other,other,8,north,Anonyma_shoal_(Sandringham),-37.95742,144.98865
27/11/2011,4:29:56 AM,adult,26,other,other,27,east,Mornington_hospital,-38.16823,144.9593
27/11/2011,4:43:45 AM,adult,24,other,other,27,east,Mornington_hospital,-38.16823,144.9593
27/11/2011,6:13:44 AM,adult,22,other,other,16,east,Carrum_wide,-38.05342,144.94145
27/11/2011,6:16:39 AM,adult,29,other,other,9,north,Finger,-38.04418,144.79383
27/11/2011,6:19:06 AM,adult,15,other,other,11,east,Mordialloc_natural_reef,-38.00213,145.0611
27/11/2011,8:38:37 AM,adult,29,other,other,9,north,Finger,-38.04418,144.79383
27/11/2011,8:57:52 AM,adult,15,other,other,11,east,Mordialloc_natural_reef,-38.00213,145.0611
27/11/2011,10:39:37 AM,adult,29,other,other,9,north,Finger,-38.04418,144.79383
27/11/2011,11:02:11 AM,adult,7,other,other,20,east,Seaford_16m,-38.09975,145.0564
27/11/2011,12:26:48 PM,adult,15,other,other,11,east,Mordialloc_natural_reef,-38.00213,145.0611
27/11/2011,12:40:19 PM,adult,29,other,other,9,north,Finger,-38.04418,144.79383
27/11/2011,1:59:11 PM,adult,22,other,other,20,east,Seaford_16m,-38.09975,145.0564
27/11/2011,2:15:21 PM,adult,21,other,other,10,east,Ricketts_natural_reef,-38.00345,145.0335
27/11/2011,2:29:39 PM,adult,16,other,other,20,east,Seaford_16m,-38.09975,145.0564
27/11/2011,2:32:23 PM,adult,15,other,other,11,east,Mordialloc_natural_reef,-38.00213,145.0611
27/11/2011,2:42:44 PM,adult,29,other,other,9,north,Finger,-38.04418,144.79383
27/11/2011,4:22:39 PM,adult,32,other,other,8,north,Anonyma_shoal_(Sandringham),-37.95742,144.98865
27/11/2011,4:55:26 PM,adult,15,other,other,11,east,Mordialloc_natural_reef,-38.00213,145.0611
27/11/2011,5:16:48 PM,adult,6,other,other,18,east,Aircraft/Aeroplane,-38.10002,145.01185
27/11/2011,5:32:47 PM,adult,22,other,other,20,east,Seaford_16m,-38.09975,145.0564
27/11/2011,5:34:06 PM,adult,29,other,other,9,north,Finger,-38.04418,144.79383
27/11/2011,6:57:49 PM,adult,15,other,other,11,east,Mordialloc_natural_reef,-38.00213,145.0611
27/11/2011,8:33:15 PM,adult,29,other,other,9,north,Finger,-38.04418,144.79383
27/11/2011,8:50:41 PM,adult,22,other,other,18,east,Aircraft/Aeroplane,-38.10002,145.01185
27/11/2011,9:36:49 PM,adult,15,other,other,11,east,Mordialloc_natural_reef,-38.00213,145.0611
27/11/2011,10:55:45 PM,adult,26,other,other,27,east,Mornington_hospital,-38.16823,144.9593
28/11/2011,12:18:12 AM,adult,6,other,other,17,east,Mornington_wide,-38.12388,144.94052
28/11/2011,12:57:35 AM,adult,15,other,other,11,east,Mordialloc_natural_reef,-38.00213,145.0611
28/11/2011,1:11:05 AM,adult,7,other,other,18,east,Aircraft/Aeroplane,-38.10002,145.01185
28/11/2011,2:19:09 AM,adult,6,other,other,17,east,Mornington_wide,-38.12388,144.94052
28/11/2011,2:58:48 AM,adult,15,other,other,11,east,Mordialloc_natural_reef,-38.00213,145.0611
28/11/2011,4:13:44 AM,adult,7,other,other,20,east,Seaford_16m,-38.09975,145.0564
28/11/2011,4:41:17 AM,adult,6,other,other,17,east,Mornington_wide,-38.12388,144.94052
28/11/2011,5:24:55 AM,adult,29,other,other,9,north,Finger,-38.04418,144.79383
28/11/2011,6:01:40 AM,adult,26,other,other,27,east,Mornington_hospital,-38.16823,144.9593
28/11/2011,7:22:02 AM,adult,17,other,other,15,east,Gaso_deep,-38.04128,144.98372
28/11/2011,7:42:40 AM,adult,15,other,other,11,east,Mordialloc_natural_reef,-38.00213,145.0611
28/11/2011,8:17:15 AM,adult,30,other,other,27,east,Mornington_hospital,-38.16823,144.9593
28/11/2011,8:25:25 AM,adult,24,other,other,20,east,Seaford_16m,-38.09975,145.0564
28/11/2011,9:48:34 AM,adult,15,other,other,11,east,Mordialloc_natural_reef,-38.00213,145.0611
28/11/2011,10:18:00 AM,adult,30,other,other,27,east,Mornington_hospital,-38.16823,144.9593
28/11/2011,11:03:15 AM,adult,21,other,other,10,east,Ricketts_natural_reef,-38.00345,145.0335
28/11/2011,11:54:32 AM,adult,15,other,other,11,east,Mordialloc_natural_reef,-38.00213,145.0611
28/11/2011,12:19:35 PM,adult,30,other,other,27,east,Mornington_hospital,-38.16823,144.9593
28/11/2011,12:40:48 PM,adult,7,other,other,25,east,Mornington_paddock,-38.14808,145.03395
28/11/2011,12:57:27 PM,adult,24,other,other,25,east,Mornington_paddock,-38.14808,145.03395
28/11/2011,3:38:00 PM,adult,15,other,other,11,east,Mordialloc_natural_reef,-38.00213,145.0611
28/11/2011,3:39:43 PM,adult,22,other,other,18,east,Aircraft/Aeroplane,-38.10002,145.01185
28/11/2011,5:39:01 PM,adult,15,other,other,11,east,Mordialloc_natural_reef,-38.00213,145.0611
28/11/2011,5:48:28 PM,adult,17,other,other,17,east,Mornington_wide,-38.12388,144.94052
28/11/2011,7:44:44 PM,adult,21,other,other,10,east,Ricketts_natural_reef,-38.00345,145.0335
28/11/2011,7:44:46 PM,adult,15,other,other,11,east,Mordialloc_natural_reef,-38.00213,145.0611
29/11/2011,12:05:55 AM,adult,21,other,other,10,east,Ricketts_natural_reef,-38.00345,145.0335
29/11/2011,12:10:40 AM,adult,15,other,other,11,east,Mordialloc_natural_reef,-38.00213,145.0611
29/11/2011,2:48:01 AM,adult,16,other,other,17,east,Mornington_wide,-38.12388,144.94052
29/11/2011,4:49:01 AM,adult,16,other,other,17,east,Mornington_wide,-38.12388,144.94052
29/11/2011,5:37:24 AM,adult,15,other,other,11,east,Mordialloc_natural_reef,-38.00213,145.0611
29/11/2011,6:18:50 AM,adult,22,other,other,16,east,Carrum_wide,-38.05342,144.94145
29/11/2011,7:56:03 AM,adult,15,other,other,11,east,Mordialloc_natural_reef,-38.00213,145.0611
29/11/2011,10:18:05 AM,adult,15,other,other,11,east,Mordialloc_natural_reef,-38.00213,145.0611
29/11/2011,11:27:27 AM,adult,21,other,other,10,east,Ricketts_natural_reef,-38.00345,145.0335
29/11/2011,12:34:17 PM,adult,7,other,other,26,east,Ansetts,-38.17358,145.03483
29/11/2011,2:29:01 PM,adult,24,other,other,26,east,Ansetts,-38.17358,145.03483
29/11/2011,3:06:37 PM,adult,25,other,other,27,east,Mornington_hospital,-38.16823,144.9593
29/11/2011,3:07:33 PM,adult,29,other,other,9,north,Finger,-38.04418,144.79383
29/11/2011,7:54:20 PM,adult,15,other,other,11,east,Mordialloc_natural_reef,-38.00213,145.0611
29/11/2011,8:56:43 PM,adult,18,other,other,22,east,Frankston_inner_reef_(knob),-38.14407,145.10023
29/11/2011,10:07:51 PM,adult,30,other,other,27,east,Mornington_hospital,-38.16823,144.9593
29/11/2011,10:58:29 PM,adult,18,other,other,22,east,Frankston_inner_reef_(knob),-38.14407,145.10023
30/11/2011,12:08:42 AM,adult,30,other,other,27,east,Mornington_hospital,-38.16823,144.9593
30/11/2011,1:01:15 AM,adult,18,other,other,22,east,Frankston_inner_reef_(knob),-38.14407,145.10023
30/11/2011,1:42:37 AM,adult,15,other,other,11,east,Mordialloc_natural_reef,-38.00213,145.0611
30/11/2011,2:09:49 AM,adult,30,other,other,27,east,Mornington_hospital,-38.16823,144.9593
30/11/2011,3:08:32 AM,adult,18,other,other,22,east,Frankston_inner_reef_(knob),-38.14407,145.10023
30/11/2011,4:12:01 AM,adult,30,other,other,27,east,Mornington_hospital,-38.16823,144.9593
30/11/2011,5:10:07 AM,adult,18,other,other,22,east,Frankston_inner_reef_(knob),-38.14407,145.10023
30/11/2011,7:58:42 AM,adult,5,other,other,10,east,Ricketts_natural_reef,-38.00345,145.0335
30/11/2011,8:22:15 AM,adult,18,other,other,22,east,Frankston_inner_reef_(knob),-38.14407,145.10023
30/11/2011,8:34:27 AM,adult,25,other,other,27,east,Mornington_hospital,-38.16823,144.9593
30/11/2011,9:05:06 AM,adult,6,other,other,27,east,Mornington_hospital,-38.16823,144.9593
30/11/2011,10:24:44 AM,adult,18,other,other,22,east,Frankston_inner_reef_(knob),-38.14407,145.10023
30/11/2011,12:41:53 PM,adult,15,other,other,11,east,Mordialloc_natural_reef,-38.00213,145.0611
30/11/2011,1:00:25 PM,adult,24,other,other,27,east,Mornington_hospital,-38.16823,144.9593
30/11/2011,2:00:08 PM,adult,18,other,other,22,east,Frankston_inner_reef_(knob),-38.14407,145.10023
30/11/2011,3:36:03 PM,adult,16,other,other,16,east,Carrum_wide,-38.05342,144.94145
30/11/2011,4:49:46 PM,adult,24,other,other,27,east,Mornington_hospital,-38.16823,144.9593
30/11/2011,4:50:42 PM,adult,18,other,other,22,east,Frankston_inner_reef_(knob),-38.14407,145.10023
30/11/2011,6:52:37 PM,adult,18,other,other,22,east,Frankston_inner_reef_(knob),-38.14407,145.10023
30/11/2011,7:59:20 PM,adult,32,other,other,9,north,Finger,-38.04418,144.79383
30/11/2011,9:11:36 PM,adult,18,other,other,22,east,Frankston_inner_reef_(knob),-38.14407,145.10023
01/12/2011,3:54:12 AM,adult,32,other,other,9,north,Finger,-38.04418,144.79383
01/12/2011,6:38:02 AM,adult,18,other,other,22,east,Frankston_inner_reef_(knob),-38.14407,145.10023
01/12/2011,8:52:44 AM,adult,18,other,other,22,east,Frankston_inner_reef_(knob),-38.14407,145.10023
01/12/2011,10:56:40 AM,adult,18,other,other,22,east,Frankston_inner_reef_(knob),-38.14407,145.10023
01/12/2011,12:58:53 PM,adult,18,other,other,22,east,Frankston_inner_reef_(knob),-38.14407,145.10023
01/12/2011,1:40:12 PM,adult,32,other,other,9,north,Finger,-38.04418,144.79383
01/12/2011,2:20:28 PM,adult,30,other,other,27,east,Mornington_hospital,-38.16823,144.9593
01/12/2011,3:03:33 PM,adult,18,other,other,22,east,Frankston_inner_reef_(knob),-38.14407,145.10023
01/12/2011,3:42:06 PM,adult,32,other,other,9,north,Finger,-38.04418,144.79383
01/12/2011,5:18:20 PM,adult,18,other,other,22,east,Frankston_inner_reef_(knob),-38.14407,145.10023
01/12/2011,7:19:23 PM,adult,18,other,other,22,east,Frankston_inner_reef_(knob),-38.14407,145.10023
01/12/2011,7:27:50 PM,adult,15,other,other,11,east,Mordialloc_natural_reef,-38.00213,145.0611
01/12/2011,8:45:51 PM,adult,16,other,other,15,east,Gaso_deep,-38.04128,144.98372
01/12/2011,9:29:24 PM,adult,18,other,other,22,east,Frankston_inner_reef_(knob),-38.14407,145.10023
01/12/2011,11:28:57 PM,adult,16,other,other,15,east,Gaso_deep,-38.04128,144.98372
01/12/2011,11:30:05 PM,adult,18,other,other,22,east,Frankston_inner_reef_(knob),-38.14407,145.10023
02/12/2011,1:31:51 AM,adult,18,other,other,22,east,Frankston_inner_reef_(knob),-38.14407,145.10023
02/12/2011,1:41:27 AM,adult,16,other,other,15,east,Gaso_deep,-38.04128,144.98372
02/12/2011,3:44:02 AM,adult,16,other,other,15,east,Gaso_deep,-38.04128,144.98372
02/12/2011,4:16:32 AM,adult,32,other,other,9,north,Finger,-38.04418,144.79383
02/12/2011,5:45:26 AM,adult,16,other,other,15,east,Gaso_deep,-38.04128,144.98372
02/12/2011,5:50:49 AM,adult,18,other,other,22,east,Frankston_inner_reef_(knob),-38.14407,145.10023
02/12/2011,6:31:33 AM,adult,4,other,other,54,west,receiver_03_Ross_Winstanely,-38.13196667,144.4037667
02/12/2011,7:26:35 AM,adult,15,other,other,11,east,Mordialloc_natural_reef,-38.00213,145.0611
02/12/2011,7:51:01 AM,adult,18,other,other,22,east,Frankston_inner_reef_(knob),-38.14407,145.10023
02/12/2011,7:53:54 AM,adult,32,other,other,9,north,Finger,-38.04418,144.79383
02/12/2011,8:08:09 AM,adult,29,other,other,27,east,Mornington_hospital,-38.16823,144.9593
02/12/2011,9:51:03 AM,adult,18,other,other,22,east,Frankston_inner_reef_(knob),-38.14407,145.10023
02/12/2011,11:12:51 AM,adult,18,other,other,24,east,Woolies_natural_reef,-38.155,145.09088
02/12/2011,1:10:02 PM,adult,15,other,other,11,east,Mordialloc_natural_reef,-38.00213,145.0611
02/12/2011,1:57:30 PM,adult,22,other,other,17,east,Mornington_wide,-38.12388,144.94052
02/12/2011,3:12:21 PM,adult,15,other,other,11,east,Mordialloc_natural_reef,-38.00213,145.0611
02/12/2011,4:17:35 PM,adult,21,other,other,10,east,Ricketts_natural_reef,-38.00345,145.0335
02/12/2011,5:13:26 PM,adult,15,other,other,11,east,Mordialloc_natural_reef,-38.00213,145.0611
02/12/2011,6:25:56 PM,adult,21,other,other,10,east,Ricketts_natural_reef,-38.00345,145.0335
03/12/2011,7:24:00 AM,adult,15,other,other,11,east,Mordialloc_natural_reef,-38.00213,145.0611
03/12/2011,7:39:01 AM,adult,28,other,other,15,east,Gaso_deep,-38.04128,144.98372
03/12/2011,9:32:58 AM,adult,15,other,other,11,east,Mordialloc_natural_reef,-38.00213,145.0611
03/12/2011,9:51:50 AM,adult,28,other,other,15,east,Gaso_deep,-38.04128,144.98372
03/12/2011,12:27:36 PM,adult,15,other,other,11,east,Mordialloc_natural_reef,-38.00213,145.0611
03/12/2011,5:37:06 PM,adult,16,other,other,16,east,Carrum_wide,-38.05342,144.94145
03/12/2011,6:37:47 PM,adult,6,other,other,27,east,Mornington_hospital,-38.16823,144.9593
03/12/2011,8:06:11 PM,adult,15,other,other,11,east,Mordialloc_natural_reef,-38.00213,145.0611
04/12/2011,7:55:04 AM,adult,15,other,other,11,east,Mordialloc_natural_reef,-38.00213,145.0611
04/12/2011,9:55:05 AM,adult,15,other,other,11,east,Mordialloc_natural_reef,-38.00213,145.0611
