"Date","Life_stage","StationID","Station_Region","Latitude","Longitude","Number_fish"
2011-11-24,"adult",8,"north",-37.95742,144.98865,1
2011-11-24,"adult",9,"north",-38.04418,144.79383,1
2011-11-24,"adult",10,"east",-38.00345,145.0335,6
2011-11-24,"adult",11,"east",-38.00213,145.0611,9
2011-11-24,"adult",17,"east",-38.12388,144.94052,1
2011-11-24,"adult",22,"east",-38.14407,145.10023,2
2011-11-24,"adult",27,"east",-38.16823,144.9593,1
2011-11-25,"adult",8,"north",-37.95742,144.98865,2
2011-11-25,"adult",9,"north",-38.04418,144.79383,2
2011-11-25,"adult",10,"east",-38.00345,145.0335,1
2011-11-25,"adult",11,"east",-38.00213,145.0611,6
2011-11-25,"adult",15,"east",-38.04128,144.98372,3
2011-11-25,"adult",18,"east",-38.10002,145.01185,2
2011-11-25,"adult",26,"east",-38.17358,145.03483,2
2011-11-26,"adult",9,"north",-38.04418,144.79383,2
2011-11-26,"adult",10,"east",-38.00345,145.0335,1
2011-11-26,"adult",11,"east",-38.00213,145.0611,6
2011-11-26,"adult",16,"east",-38.05342,144.94145,2
2011-11-26,"adult",27,"east",-38.16823,144.9593,7
2011-11-27,"adult",8,"north",-37.95742,144.98865,2
2011-11-27,"adult",9,"north",-38.04418,144.79383,7
2011-11-27,"adult",10,"east",-38.00345,145.0335,1
2011-11-27,"adult",11,"east",-38.00213,145.0611,7
2011-11-27,"adult",16,"east",-38.05342,144.94145,2
2011-11-27,"adult",18,"east",-38.10002,145.01185,2
2011-11-27,"adult",20,"east",-38.09975,145.0564,4
2011-11-27,"adult",27,"east",-38.16823,144.9593,5
2011-11-28,"adult",9,"north",-38.04418,144.79383,1
2011-11-28,"adult",10,"east",-38.00345,145.0335,2
2011-11-28,"adult",11,"east",-38.00213,145.0611,8
2011-11-28,"adult",15,"east",-38.04128,144.98372,1
2011-11-28,"adult",17,"east",-38.12388,144.94052,4
2011-11-28,"adult",18,"east",-38.10002,145.01185,2
2011-11-28,"adult",20,"east",-38.09975,145.0564,2
2011-11-28,"adult",25,"east",-38.14808,145.03395,2
2011-11-28,"adult",27,"east",-38.16823,144.9593,4
2011-11-29,"adult",9,"north",-38.04418,144.79383,1
2011-11-29,"adult",10,"east",-38.00345,145.0335,2
2011-11-29,"adult",11,"east",-38.00213,145.0611,5
2011-11-29,"adult",16,"east",-38.05342,144.94145,1
2011-11-29,"adult",17,"east",-38.12388,144.94052,2
2011-11-29,"adult",22,"east",-38.14407,145.10023,2
2011-11-29,"adult",26,"east",-38.17358,145.03483,2
2011-11-29,"adult",27,"east",-38.16823,144.9593,2
2011-11-30,"adult",9,"north",-38.04418,144.79383,1
2011-11-30,"adult",10,"east",-38.00345,145.0335,1
2011-11-30,"adult",11,"east",-38.00213,145.0611,2
2011-11-30,"adult",16,"east",-38.05342,144.94145,1
2011-11-30,"adult",22,"east",-38.14407,145.10023,9
2011-11-30,"adult",27,"east",-38.16823,144.9593,7
2011-12-01,"adult",9,"north",-38.04418,144.79383,3
2011-12-01,"adult",11,"east",-38.00213,145.0611,1
2011-12-01,"adult",15,"east",-38.04128,144.98372,2
2011-12-01,"adult",22,"east",-38.14407,145.10023,9
2011-12-01,"adult",27,"east",-38.16823,144.9593,1
2011-12-02,"adult",9,"north",-38.04418,144.79383,2
2011-12-02,"adult",10,"east",-38.00345,145.0335,2
2011-12-02,"adult",11,"east",-38.00213,145.0611,4
2011-12-02,"adult",15,"east",-38.04128,144.98372,3
2011-12-02,"adult",17,"east",-38.12388,144.94052,1
2011-12-02,"adult",22,"east",-38.14407,145.10023,4
2011-12-02,"adult",24,"east",-38.155,145.09088,1
2011-12-02,"adult",27,"east",-38.16823,144.9593,1
2011-12-02,"adult",54,"west",-38.13196667,144.4037667,1
2011-12-03,"adult",11,"east",-38.00213,145.0611,4
2011-12-03,"adult",15,"east",-38.04128,144.98372,2
2011-12-03,"adult",16,"east",-38.05342,144.94145,1
2011-12-03,"adult",27,"east",-38.16823,144.9593,1
2011-12-04,"adult",11,"east",-38.00213,145.0611,4
2011-12-05,"adult",11,"east",-38.00213,145.0611,5
2011-12-06,"adult",10,"east",-38.00345,145.0335,1
2011-12-06,"adult",11,"east",-38.00213,145.0611,5
2011-12-06,"adult",17,"east",-38.12388,144.94052,2
2011-12-06,"adult",18,"east",-38.10002,145.01185,2
2011-12-07,"adult",9,"north",-38.04418,144.79383,1
2011-12-07,"adult",10,"east",-38.00345,145.0335,1
2011-12-07,"adult",11,"east",-38.00213,145.0611,6
2011-12-07,"adult",16,"east",-38.05342,144.94145,1
2011-12-07,"adult",17,"east",-38.12388,144.94052,3
2011-12-07,"adult",27,"east",-38.16823,144.9593,1
2011-12-07,"adult",54,"west",-38.13193333,144.40385,1
2011-12-07,"adult",55,"east",-38.08061667,144.9369333,1
2011-12-08,"adult",9,"north",-38.04418,144.79383,2
2011-12-08,"adult",10,"east",-38.00345,145.0335,1
2011-12-08,"adult",11,"east",-38.00213,145.0611,6
2011-12-08,"adult",17,"east",-38.12388,144.94052,5
2011-12-08,"adult",27,"east",-38.16823,144.9593,1
2011-12-08,"adult",38,"west",-38.11977,144.42425,1
2011-12-09,"adult",11,"east",-38.00213,145.0611,4
2011-12-09,"adult",12,"east",-38.03608,145.07697,1
2011-12-09,"adult",27,"east",-38.16823,144.9593,4
2011-12-10,"adult",9,"north",-38.04418,144.79383,1
2011-12-10,"adult",10,"east",-38.00345,145.0335,1
2011-12-10,"adult",11,"east",-38.00213,145.0611,7
2011-12-10,"adult",17,"east",-38.12388,144.94052,1
2011-12-10,"adult",32,"south",-38.20507,144.746,1
2011-12-10,"adult",33,"south",-38.24655,144.71818,1
2011-12-10,"adult",39,"south",-38.26977,144.67045,1
2011-12-10,"adult",40,"south",-38.27298,144.67083,1
2011-12-10,"adult",41,"south",-38.27667,144.67698,1
2011-12-10,"adult",43,"south",-38.28483,144.682,1
2011-12-11,"adult",11,"east",-38.00213,145.0611,1
2011-12-11,"adult",12,"east",-38.03608,145.07697,1
2011-12-11,"adult",13,"east",-38.05117,145.0788,5
2011-12-11,"adult",17,"east",-38.12388,144.94052,2
2011-12-12,"adult",13,"east",-38.05117,145.0788,12
2011-12-13,"adult",13,"east",-38.05117,145.0788,11
2011-12-14,"adult",13,"east",-38.05117,145.0788,11
2011-12-14,"adult",17,"east",-38.12388,144.94052,1
2011-12-14,"adult",44,"south",-38.28885,144.68552,1
2011-12-14,"adult",45,"south",-38.2941,144.6841,1
2011-12-15,"adult",13,"east",-38.05117,145.0788,11
2011-12-15,"adult",17,"east",-38.12388,144.94052,1
2011-12-16,"adult",13,"east",-38.05117,145.0788,12
2011-12-16,"adult",17,"east",-38.12388,144.94052,2
2011-12-16,"adult",54,"west",-38.13215,144.4039667,1
2011-12-17,"adult",13,"east",-38.05117,145.0788,11
2011-12-17,"adult",27,"east",-38.16823,144.9593,1
2011-12-17,"adult",39,"south",-38.26977,144.67045,1
2011-12-17,"adult",40,"south",-38.27298,144.67083,1
2011-12-18,"adult",13,"east",-38.05117,145.0788,11
2011-12-19,"adult",13,"east",-38.05117,145.0788,12
2011-12-20,"adult",13,"east",-38.05117,145.0788,11
2011-12-20,"adult",16,"east",-38.05342,144.94145,1
2011-12-21,"adult",13,"east",-38.05117,145.0788,12
2011-12-21,"adult",17,"east",-38.12388,144.94052,1
2011-12-22,"adult",13,"east",-38.05117,145.0788,11
2011-12-22,"adult",31,"south",-38.23125,144.80047,1
2011-12-22,"adult",36,"west",-38.08647,144.62853,4
2011-12-23,"adult",2,"north",-37.88677,144.93997,1
2011-12-23,"adult",13,"east",-38.05117,145.0788,11
2011-12-23,"adult",36,"west",-38.08647,144.62853,11
2011-12-23,"adult",44,"south",-38.28885,144.68552,1
2011-12-24,"adult",9,"north",-38.04418,144.79383,1
2011-12-24,"adult",13,"east",-38.05117,145.0788,9
2011-12-24,"adult",31,"south",-38.23125,144.80047,1
2011-12-24,"adult",36,"west",-38.08647,144.62853,11
2011-12-25,"adult",13,"east",-38.05117,145.0788,8
2011-12-25,"adult",36,"west",-38.08647,144.62853,12
2011-12-25,"adult",45,"south",-38.2941,144.6841,1
2011-12-26,"adult",13,"east",-38.05117,145.0788,11
2011-12-26,"adult",26,"east",-38.17358,145.03483,5
2011-12-26,"adult",36,"west",-38.08647,144.62853,8
2011-12-27,"adult",11,"east",-38.00213,145.0611,1
2011-12-27,"adult",13,"east",-38.05117,145.0788,11
2011-12-27,"adult",26,"east",-38.17358,145.03483,10
2011-12-27,"adult",36,"west",-38.08647,144.62853,7
2011-12-28,"adult",13,"east",-38.05117,145.0788,11
2011-12-28,"adult",26,"east",-38.17358,145.03483,11
2011-12-28,"adult",29,"south",-38.32152,144.83592,1
2011-12-28,"adult",36,"west",-38.08647,144.62853,9
2011-12-28,"adult",45,"south",-38.2941,144.6841,2
2011-12-29,"adult",13,"east",-38.05117,145.0788,12
2011-12-29,"adult",26,"east",-38.17358,145.03483,11
2011-12-29,"adult",36,"west",-38.08647,144.62853,2
2011-12-29,"adult",38,"west",-38.11977,144.42425,1
2011-12-30,"adult",13,"east",-38.05117,145.0788,12
2011-12-30,"adult",21,"east",-38.08735,145.09918,1
2011-12-30,"adult",26,"east",-38.17358,145.03483,1
2011-12-31,"adult",13,"east",-38.05117,145.0788,10
2011-12-31,"adult",45,"south",-38.2941,144.6841,1
2012-01-01,"adult",13,"east",-38.05117,145.0788,11
2012-01-02,"adult",13,"east",-38.05117,145.0788,11
2012-01-02,"adult",46,"south",-38.29857,144.68177,1
2012-01-03,"adult",13,"east",-38.05117,145.0788,3
2012-01-04,"adult",13,"east",-38.05117,145.0788,3
2012-01-05,"adult",13,"east",-38.05117,145.0788,12
2012-01-05,"adult",54,"west",-38.13181667,144.4033833,1
2012-01-06,"adult",13,"east",-38.05117,145.0788,11
2012-01-07,"adult",13,"east",-38.05117,145.0788,10
2012-01-08,"adult",3,"north",-37.88172,144.96923,1
2012-01-08,"adult",13,"east",-38.05117,145.0788,11
2012-01-09,"adult",1,"north",-37.87702,144.93997,1
2012-01-09,"adult",13,"east",-38.05117,145.0788,8
2012-01-10,"adult",13,"east",-38.05117,145.0788,8
2012-01-11,"adult",13,"east",-38.05117,145.0788,10
2012-01-12,"adult",13,"east",-38.05117,145.0788,11
2012-01-12,"adult",17,"east",-38.12388,144.94052,2
2012-01-13,"adult",13,"east",-38.05117,145.0788,11
2012-01-13,"adult",38,"west",-38.11977,144.42425,1
2012-01-14,"adult",13,"east",-38.05117,145.0788,12
2012-01-14,"adult",44,"south",-38.28885,144.68552,1
2012-01-14,"adult",45,"south",-38.2941,144.6841,1
2012-01-15,"adult",13,"east",-38.05117,145.0788,12
2012-01-15,"adult",27,"east",-38.16823,144.9593,1
2012-01-16,"adult",13,"east",-38.05117,145.0788,10
2012-01-16,"adult",15,"east",-38.04128,144.98372,1
2012-01-16,"adult",46,"south",-38.29857,144.68177,1
2012-01-17,"adult",8,"north",-37.95742,144.98865,1
2012-01-17,"adult",13,"east",-38.05117,145.0788,9
2012-01-17,"adult",35,"west",-38.10157,144.43693,1
2012-01-18,"adult",13,"east",-38.05117,145.0788,9
2012-01-19,"adult",13,"east",-38.05117,145.0788,10
2012-01-19,"adult",44,"south",-38.28885,144.68552,1
2012-01-19,"pinkie",21,"east",-38.08735,145.09918,12
2012-01-19,"pinkie",22,"east",-38.14407,145.10023,7
2012-01-19,"pinkie",23,"east",-38.14135,145.09135,41
2012-01-19,"pinkie",24,"east",-38.155,145.09088,4
2012-01-20,"adult",13,"east",-38.05117,145.0788,11
2012-01-20,"pinkie",12,"east",-38.03608,145.07697,1
2012-01-20,"pinkie",22,"east",-38.14407,145.10023,1
2012-01-20,"pinkie",23,"east",-38.14135,145.09135,12
2012-01-20,"pinkie",24,"east",-38.155,145.09088,15
2012-01-21,"adult",13,"east",-38.05117,145.0788,11
2012-01-21,"adult",35,"west",-38.10157,144.43693,1
2012-01-21,"pinkie",21,"east",-38.08735,145.09918,8
2012-01-21,"pinkie",23,"east",-38.14135,145.09135,12
2012-01-21,"pinkie",24,"east",-38.155,145.09088,17
2012-01-22,"adult",13,"east",-38.05117,145.0788,11
2012-01-22,"pinkie",21,"east",-38.08735,145.09918,5
2012-01-22,"pinkie",23,"east",-38.14135,145.09135,12
2012-01-22,"pinkie",24,"east",-38.155,145.09088,17
2012-01-23,"adult",13,"east",-38.05117,145.0788,12
2012-01-23,"pinkie",21,"east",-38.08735,145.09918,10
2012-01-23,"pinkie",22,"east",-38.14407,145.10023,1
2012-01-23,"pinkie",23,"east",-38.14135,145.09135,12
2012-01-23,"pinkie",24,"east",-38.155,145.09088,14
2012-01-24,"adult",13,"east",-38.05117,145.0788,11
2012-01-24,"adult",46,"south",-38.29857,144.68177,1
2012-01-24,"pinkie",21,"east",-38.08735,145.09918,11
2012-01-24,"pinkie",22,"east",-38.14407,145.10023,2
2012-01-24,"pinkie",23,"east",-38.14135,145.09135,11
2012-01-24,"pinkie",24,"east",-38.155,145.09088,16
2012-01-25,"adult",13,"east",-38.05117,145.0788,11
2012-01-25,"pinkie",21,"east",-38.08735,145.09918,8
2012-01-25,"pinkie",22,"east",-38.14407,145.10023,2
2012-01-25,"pinkie",23,"east",-38.14135,145.09135,12
2012-01-25,"pinkie",24,"east",-38.155,145.09088,14
2012-01-26,"adult",13,"east",-38.05117,145.0788,12
2012-01-26,"pinkie",21,"east",-38.08735,145.09918,7
2012-01-26,"pinkie",23,"east",-38.14135,145.09135,12
2012-01-26,"pinkie",24,"east",-38.155,145.09088,15
2012-01-27,"adult",13,"east",-38.05117,145.0788,12
2012-01-27,"adult",35,"west",-38.10157,144.43693,2
2012-01-27,"pinkie",21,"east",-38.08735,145.09918,10
2012-01-27,"pinkie",22,"east",-38.14407,145.10023,1
2012-01-27,"pinkie",23,"east",-38.14135,145.09135,12
2012-01-27,"pinkie",24,"east",-38.155,145.09088,14
2012-01-28,"adult",13,"east",-38.05117,145.0788,10
2012-01-28,"pinkie",21,"east",-38.08735,145.09918,11
2012-01-28,"pinkie",23,"east",-38.14135,145.09135,12
2012-01-28,"pinkie",24,"east",-38.155,145.09088,11
2012-01-29,"adult",13,"east",-38.05117,145.0788,11
2012-01-29,"pinkie",21,"east",-38.08735,145.09918,12
2012-01-29,"pinkie",22,"east",-38.14407,145.10023,3
2012-01-29,"pinkie",23,"east",-38.14135,145.09135,12
2012-01-29,"pinkie",24,"east",-38.155,145.09088,12
2012-01-30,"adult",13,"east",-38.05117,145.0788,12
2012-01-30,"adult",38,"west",-38.11977,144.42425,1
2012-01-30,"pinkie",21,"east",-38.08735,145.09918,4
2012-01-30,"pinkie",22,"east",-38.14407,145.10023,1
2012-01-30,"pinkie",23,"east",-38.14135,145.09135,12
2012-01-30,"pinkie",24,"east",-38.155,145.09088,9
2012-01-31,"adult",12,"east",-38.03608,145.07697,1
2012-01-31,"pinkie",23,"east",-38.14135,145.09135,12
2012-01-31,"pinkie",24,"east",-38.155,145.09088,5
2012-02-01,"adult",12,"east",-38.03608,145.07697,1
2012-02-01,"adult",13,"east",-38.05117,145.0788,8
2012-02-01,"adult",42,"south",-38.2806,144.67943,1
2012-02-01,"adult",43,"south",-38.28483,144.682,1
2012-02-01,"adult",44,"south",-38.28885,144.68552,1
2012-02-01,"pinkie",21,"east",-38.08735,145.09918,2
2012-02-01,"pinkie",23,"east",-38.14135,145.09135,11
2012-02-01,"pinkie",24,"east",-38.155,145.09088,15
2012-02-02,"adult",13,"east",-38.05117,145.0788,12
2012-02-02,"pinkie",21,"east",-38.08735,145.09918,3
2012-02-02,"pinkie",23,"east",-38.14135,145.09135,12
2012-02-02,"pinkie",24,"east",-38.155,145.09088,16
2012-02-03,"adult",12,"east",-38.03608,145.07697,1
2012-02-03,"adult",13,"east",-38.05117,145.0788,4
2012-02-03,"pinkie",21,"east",-38.08735,145.09918,8
2012-02-03,"pinkie",23,"east",-38.14135,145.09135,12
2012-02-03,"pinkie",24,"east",-38.155,145.09088,14
2012-02-04,"adult",11,"east",-38.00213,145.0611,2
2012-02-04,"pinkie",21,"east",-38.08735,145.09918,7
2012-02-04,"pinkie",23,"east",-38.14135,145.09135,12
2012-02-04,"pinkie",24,"east",-38.155,145.09088,8
2012-02-05,"adult",11,"east",-38.00213,145.0611,1
2012-02-05,"pinkie",21,"east",-38.08735,145.09918,4
2012-02-05,"pinkie",23,"east",-38.14135,145.09135,12
2012-02-05,"pinkie",24,"east",-38.155,145.09088,1
2012-02-06,"adult",43,"south",-38.28483,144.682,1
2012-02-06,"adult",44,"south",-38.28885,144.68552,1
2012-02-06,"pinkie",21,"east",-38.08735,145.09918,6
2012-02-06,"pinkie",22,"east",-38.14407,145.10023,1
2012-02-06,"pinkie",23,"east",-38.14135,145.09135,11
2012-02-06,"pinkie",24,"east",-38.155,145.09088,6
2012-02-07,"pinkie",21,"east",-38.08735,145.09918,2
2012-02-07,"pinkie",23,"east",-38.14135,145.09135,12
2012-02-07,"pinkie",24,"east",-38.155,145.09088,3
2012-02-08,"adult",38,"west",-38.11977,144.42425,1
2012-02-08,"pinkie",21,"east",-38.08735,145.09918,21
2012-02-08,"pinkie",22,"east",-38.14407,145.10023,1
2012-02-08,"pinkie",23,"east",-38.14135,145.09135,12
2012-02-08,"pinkie",24,"east",-38.155,145.09088,27
2012-02-09,"pinkie",18,"east",-38.10002,145.01185,1
2012-02-09,"pinkie",20,"east",-38.09975,145.0564,1
2012-02-09,"pinkie",21,"east",-38.08735,145.09918,19
2012-02-09,"pinkie",22,"east",-38.14407,145.10023,13
2012-02-09,"pinkie",23,"east",-38.14135,145.09135,17
2012-02-09,"pinkie",24,"east",-38.155,145.09088,32
2012-02-10,"pinkie",21,"east",-38.08735,145.09918,12
2012-02-10,"pinkie",22,"east",-38.14407,145.10023,11
2012-02-10,"pinkie",23,"east",-38.14135,145.09135,14
2012-02-10,"pinkie",24,"east",-38.155,145.09088,21
2012-02-11,"adult",17,"east",-38.12388,144.94052,2
2012-02-11,"pinkie",21,"east",-38.08735,145.09918,4
2012-02-11,"pinkie",22,"east",-38.14407,145.10023,6
2012-02-11,"pinkie",23,"east",-38.14135,145.09135,12
2012-02-11,"pinkie",24,"east",-38.155,145.09088,10
2012-02-12,"adult",17,"east",-38.12388,144.94052,2
2012-02-12,"pinkie",21,"east",-38.08735,145.09918,5
2012-02-12,"pinkie",22,"east",-38.14407,145.10023,6
2012-02-12,"pinkie",23,"east",-38.14135,145.09135,11
2012-02-12,"pinkie",24,"east",-38.155,145.09088,16
2012-02-13,"pinkie",21,"east",-38.08735,145.09918,6
2012-02-13,"pinkie",22,"east",-38.14407,145.10023,7
2012-02-13,"pinkie",23,"east",-38.14135,145.09135,12
2012-02-13,"pinkie",24,"east",-38.155,145.09088,20
2012-02-14,"adult",17,"east",-38.12388,144.94052,5
2012-02-14,"pinkie",20,"east",-38.09975,145.0564,4
2012-02-14,"pinkie",21,"east",-38.08735,145.09918,16
2012-02-14,"pinkie",22,"east",-38.14407,145.10023,8
2012-02-14,"pinkie",23,"east",-38.14135,145.09135,14
2012-02-14,"pinkie",24,"east",-38.155,145.09088,20
2012-02-15,"adult",17,"east",-38.12388,144.94052,1
2012-02-15,"pinkie",10,"east",-38.00345,145.0335,21
2012-02-15,"pinkie",11,"east",-38.00213,145.0611,20
2012-02-15,"pinkie",12,"east",-38.03608,145.07697,42
2012-02-15,"pinkie",13,"east",-38.05117,145.0788,11
2012-02-15,"pinkie",20,"east",-38.09975,145.0564,4
2012-02-15,"pinkie",21,"east",-38.08735,145.09918,18
2012-02-15,"pinkie",22,"east",-38.14407,145.10023,10
2012-02-15,"pinkie",23,"east",-38.14135,145.09135,15
2012-02-15,"pinkie",24,"east",-38.155,145.09088,22
2012-02-16,"pinkie",10,"east",-38.00345,145.0335,4
2012-02-16,"pinkie",11,"east",-38.00213,145.0611,24
2012-02-16,"pinkie",12,"east",-38.03608,145.07697,49
2012-02-16,"pinkie",13,"east",-38.05117,145.0788,14
2012-02-16,"pinkie",21,"east",-38.08735,145.09918,16
2012-02-16,"pinkie",22,"east",-38.14407,145.10023,10
2012-02-16,"pinkie",23,"east",-38.14135,145.09135,13
2012-02-16,"pinkie",24,"east",-38.155,145.09088,24
2012-02-17,"pinkie",10,"east",-38.00345,145.0335,5
2012-02-17,"pinkie",11,"east",-38.00213,145.0611,25
2012-02-17,"pinkie",12,"east",-38.03608,145.07697,47
2012-02-17,"pinkie",13,"east",-38.05117,145.0788,11
2012-02-17,"pinkie",20,"east",-38.09975,145.0564,6
2012-02-17,"pinkie",21,"east",-38.08735,145.09918,24
2012-02-17,"pinkie",22,"east",-38.14407,145.10023,11
2012-02-17,"pinkie",23,"east",-38.14135,145.09135,13
2012-02-17,"pinkie",24,"east",-38.155,145.09088,29
2012-02-18,"pinkie",10,"east",-38.00345,145.0335,5
2012-02-18,"pinkie",11,"east",-38.00213,145.0611,25
2012-02-18,"pinkie",12,"east",-38.03608,145.07697,41
2012-02-18,"pinkie",13,"east",-38.05117,145.0788,9
2012-02-18,"pinkie",20,"east",-38.09975,145.0564,5
2012-02-18,"pinkie",21,"east",-38.08735,145.09918,24
2012-02-18,"pinkie",22,"east",-38.14407,145.10023,11
2012-02-18,"pinkie",23,"east",-38.14135,145.09135,17
2012-02-18,"pinkie",24,"east",-38.155,145.09088,28
2012-02-19,"pinkie",10,"east",-38.00345,145.0335,3
2012-02-19,"pinkie",11,"east",-38.00213,145.0611,26
2012-02-19,"pinkie",12,"east",-38.03608,145.07697,36
2012-02-19,"pinkie",13,"east",-38.05117,145.0788,9
2012-02-19,"pinkie",20,"east",-38.09975,145.0564,1
2012-02-19,"pinkie",21,"east",-38.08735,145.09918,23
2012-02-19,"pinkie",22,"east",-38.14407,145.10023,9
2012-02-19,"pinkie",23,"east",-38.14135,145.09135,14
2012-02-19,"pinkie",24,"east",-38.155,145.09088,23
2012-02-20,"pinkie",10,"east",-38.00345,145.0335,6
2012-02-20,"pinkie",11,"east",-38.00213,145.0611,18
2012-02-20,"pinkie",12,"east",-38.03608,145.07697,35
2012-02-20,"pinkie",13,"east",-38.05117,145.0788,11
2012-02-20,"pinkie",20,"east",-38.09975,145.0564,6
2012-02-20,"pinkie",21,"east",-38.08735,145.09918,26
2012-02-20,"pinkie",22,"east",-38.14407,145.10023,9
2012-02-20,"pinkie",23,"east",-38.14135,145.09135,13
2012-02-20,"pinkie",24,"east",-38.155,145.09088,20
2012-02-21,"pinkie",10,"east",-38.00345,145.0335,5
2012-02-21,"pinkie",11,"east",-38.00213,145.0611,6
2012-02-21,"pinkie",12,"east",-38.03608,145.07697,36
2012-02-21,"pinkie",13,"east",-38.05117,145.0788,12
2012-02-21,"pinkie",20,"east",-38.09975,145.0564,1
2012-02-21,"pinkie",21,"east",-38.08735,145.09918,17
2012-02-21,"pinkie",22,"east",-38.14407,145.10023,8
2012-02-21,"pinkie",23,"east",-38.14135,145.09135,11
2012-02-21,"pinkie",24,"east",-38.155,145.09088,20
2012-02-22,"pinkie",10,"east",-38.00345,145.0335,6
2012-02-22,"pinkie",11,"east",-38.00213,145.0611,15
2012-02-22,"pinkie",12,"east",-38.03608,145.07697,36
2012-02-22,"pinkie",13,"east",-38.05117,145.0788,11
2012-02-22,"pinkie",20,"east",-38.09975,145.0564,3
2012-02-22,"pinkie",21,"east",-38.08735,145.09918,16
2012-02-22,"pinkie",22,"east",-38.14407,145.10023,10
2012-02-22,"pinkie",23,"east",-38.14135,145.09135,12
2012-02-22,"pinkie",24,"east",-38.155,145.09088,23
2012-02-23,"pinkie",1,"north",-37.87702,144.93997,4
2012-02-23,"pinkie",10,"east",-38.00345,145.0335,7
2012-02-23,"pinkie",11,"east",-38.00213,145.0611,18
2012-02-23,"pinkie",12,"east",-38.03608,145.07697,29
2012-02-23,"pinkie",13,"east",-38.05117,145.0788,11
2012-02-23,"pinkie",20,"east",-38.09975,145.0564,2
2012-02-23,"pinkie",21,"east",-38.08735,145.09918,14
2012-02-23,"pinkie",22,"east",-38.14407,145.10023,9
2012-02-23,"pinkie",23,"east",-38.14135,145.09135,16
2012-02-23,"pinkie",24,"east",-38.155,145.09088,20
2012-02-24,"pinkie",10,"east",-38.00345,145.0335,7
2012-02-24,"pinkie",11,"east",-38.00213,145.0611,32
2012-02-24,"pinkie",12,"east",-38.03608,145.07697,24
2012-02-24,"pinkie",13,"east",-38.05117,145.0788,11
2012-02-24,"pinkie",21,"east",-38.08735,145.09918,24
2012-02-24,"pinkie",22,"east",-38.14407,145.10023,10
2012-02-24,"pinkie",23,"east",-38.14135,145.09135,13
2012-02-24,"pinkie",24,"east",-38.155,145.09088,31
2012-02-25,"adult",11,"east",-38.00213,145.0611,3
2012-02-25,"pinkie",10,"east",-38.00345,145.0335,7
2012-02-25,"pinkie",11,"east",-38.00213,145.0611,24
2012-02-25,"pinkie",12,"east",-38.03608,145.07697,24
2012-02-25,"pinkie",13,"east",-38.05117,145.0788,11
2012-02-25,"pinkie",21,"east",-38.08735,145.09918,24
2012-02-25,"pinkie",22,"east",-38.14407,145.10023,8
2012-02-25,"pinkie",23,"east",-38.14135,145.09135,14
2012-02-25,"pinkie",24,"east",-38.155,145.09088,20
2012-02-26,"adult",11,"east",-38.00213,145.0611,1
2012-02-26,"pinkie",10,"east",-38.00345,145.0335,7
2012-02-26,"pinkie",11,"east",-38.00213,145.0611,17
2012-02-26,"pinkie",12,"east",-38.03608,145.07697,24
2012-02-26,"pinkie",13,"east",-38.05117,145.0788,9
